SAMPLE_ID,PROTOCOL_NAME,DATA_TYPE,ASSAY_OUTCOME,CHANNEL_OUTCOME,AC50,EFFICACY,REPRODUCIBILITY,CURVE_RANK,FLAG,CAS,PUBCHEM_CID,PUBCHEM_SID,PURITY_RATING,PURITY_RATING_4M,SAMPLE_NAME,SMILES,TOX_21_ID,PURITY
NCGC00256882-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,2897-60-1,62467,144212978,F,F,Diethoxy(methyl)[3-(oxiran-2-ylmethoxy)propyl]silane,C[Si](CCCOCC1CO1)(OCC)OCC,Tox21_302661,
NCGC00257425-01,tox21-luc-biochem-p1,ratio,active antagonist,active antagonist,17.82933754,-17.38618182,active_match,-4.66667,,17696-61-6,86607,144213885,A,A,sec-Butylparaben,Oc1ccc(cc1)C(=O)OC(C)CC,Tox21_303580,
NCGC00259903-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,5153-25-3,107377,144209552,A,A,2-Ethylhexylparaben,Oc1ccc(cc1)C(=O)OCC(CC)CCCC,Tox21_202354,
NCGC00257910-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,75-26-3,6358,144207554,FNS,,2-Bromopropane,BrC(C)C,Tox21_200356,
NCGC00258101-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,331717-63-6,16211115,144207745,A,A,1-Ethyl-3-methylimidazolium thiocyanate,N#C[S-].C[n+]1ccn(CC)c1,Tox21_200547,
NCGC00257266-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,67-47-0,237332,144213856,A,A,5-(Hydroxymethyl)-2-furfural,O=Cc1ccc(CO)o1,Tox21_303551,
NCGC00258619-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,possible blue (460 nm) auto fluorescent;,112-24-3,5565,144208264,,,Triethylenetetramine,NCCNCCNCCN,Tox21_201066,
NCGC00257726-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,607-91-0,4276,144207370,A,A,Myristicin,C=CCc1cc2OCOc2c(c1)OC,Tox21_200172,
NCGC00259157-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,108-59-8,7943,144208806,B,Ac,Dimethyl malonate,O=C(OC)CC(=O)OC,Tox21_201608,
NCGC00015520-11,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,127-07-1,3657,170465025,F,,Hydroxyurea,NC(=O)NO,Tox21_110168_1,
NCGC00015715-08,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,53179-07-0,4500,170466483,A,,Nisoxetine,COc2ccccc2OC(CCNC)c1ccccc1,Tox21_110203_1,
NCGC00015836-12,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,28797-61-7,4848,170465793,A,,Pirenzepine,O=C(CN1CCN(C)CC1)N4c2ccccc2C(=O)Nc3cccnc34,Tox21_110239_1,
NCGC00016850-15,tox21-luc-biochem-p1,ratio,active antagonist,active antagonist,27.54038867,-47.7856872,active_match,-5,,41859-67-0,39042,170465743,A,,Bezafibrate,O=C(NCCc1ccc(OC(C)(C)C(=O)O)cc1)c2ccc(Cl)cc2,Tox21_110645_1,
NCGC00091835-10,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,55-86-7,5935,170465017,Z,,Chlormethine,Cl.ClCCN(C)CCCl,Tox21_111170_1,
NCGC00016385-08,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,127-71-9,5319,170465133,A,,Sulfabenzamide,Nc1ccc(cc1)S(=O)(=O)NC(=O)c2ccccc2,Tox21_110410_1,
NCGC00018261-06,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,6724-53-4,5284439,170466435,A,,Perhexiline,O=C(O)\C=C/C(=O)O.C(C(C1CCCCC1)C2CCCCC2)C3CCCCN3,Tox21_111395_1,
NCGC00016528-05,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,637-32-1,9570076,170464800,A,,Proguanil hydrochloride,Cl.Clc1ccc(NC(=N)NC(=N)NC(C)C)cc1,Tox21_110476_1,
NCGC00016599-04,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,2022-85-7,3366,170465407,Z,,Flucytosine,FC1=CNC(=O)N=C1N,Tox21_110515_1,
NCGC00023902-09,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,63-05-8,6128,170465907,A,,"4-Androstene-3,17-dione",O=C2CC[C@H]3[C@@H]4CCC1=CC(=O)CC[C@]1(C)[C@H]4CC[C@]23C,Tox21_110893_1,
NCGC00015252-12,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,129-03-3,2913,170465127,A,,Cyproheptadine hydrochloride,CN1CC\C(CC1)=C2\c4ccccc4C=Cc3ccccc23,Tox21_110112_1,
NCGC00159421-03,tox21-luc-biochem-p1,ratio,active antagonist,active antagonist,16.72258446,-41.75712293,active_match,-7,,484-23-1,10230,170466387,Z,,Dihydralazine,NNc2nnc(NN)c1ccccc12,Tox21_111653_1,
NCGC00160540-03,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,1824-58-4,15763,170465925,A,,Ethiazide,NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)CC)cc2Cl,Tox21_111883_1,
NCGC00179332-03,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,65473-14-5,5281098,170464903,A,,Naftifine hydrochloride,Cl.CN(C\C=C\c1ccccc1)Cc3cccc2ccccc23,Tox21_110677_1,
NCGC00249900-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,71574-35-1,10330781,170465551,A,A,Glyceryl 1-(2-aminobenzoate),Nc1ccccc1C(=O)OCC(O)CO,Tox21_113676,
NCGC00167560-02,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,54-96-6,5918,170466846,Z,,"3,4-Diaminopyridine",Nc1ccncc1N,Tox21_112555_1,
NCGC00159389-04,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,104-06-3,9568512,170466436,A,,Amithiozone,O=C(C)Nc1ccc(cc1)\C=N\NC(N)=S,Tox21_111625_1,
NCGC00159393-03,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,537-55-3,68310,170465742,A,,N-Acetyl-L-tyrosine,Oc1ccc(C[C@H](NC(C)=O)C(=O)O)cc1,Tox21_111630_1,
NCGC00253728-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,100-76-5,7527,170466683,Z,Fns,Quinuclidine,C1CN2CCC1CC2,Tox21_113847,
NCGC00253710-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,39219-28-8,71717,170466315,F,A,Promestriene,CCCOc3cc4CC[C@@H]1[C@H](CC[C@]2(C)C(CC[C@@H]12)OC)c4cc3,Tox21_113830,
NCGC00255601-01,tox21-luc-biochem-p1,ratio,inconclusive antagonist,inconclusive antagonist,89.35836359,-23.72024683,inconclusive,-1,,2433-14-9,75518,144212080,A,A,4-Cyclohexylcyclohexanol,OC1CCC(CC1)C2CCCCC2,Tox21_301763,
NCGC00255631-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,7681-82-5,5238,144211696,,,Sodium iodide,I[Na],Tox21_301379,
NCGC00256923-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,105-21-5,7742,144212993,A,A,"1,4-Heptanolide",O=C1CCC(CCC)O1,Tox21_302676,
NCGC00256816-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,55-06-1,23666110,144212831,A,B,"3,3',5-Triiodo-l-thyronine sodium salt",[Na+].[O-]C(=O)[C@@H](N)Cc2cc(I)c(Oc1cc(I)c(O)cc1)c(I)c2,Tox21_302514,
NCGC00256991-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,90-16-4,7006,144213477,A,A,"1,2,3-Benzotriazin-4(1H)-one",O=C2N=NNc1ccccc12,Tox21_303160,
NCGC00257032-01,tox21-luc-biochem-p1,ratio,active antagonist,active antagonist,38.41214336,-58.68312463,active_match,-7,possible blue (460 nm) auto fluorescent;,101-72-4,7573,144213519,A,C,N-Isopropyl-N'-phenyl-p-phenylenediamine,CC(C)Nc1ccc(cc1)Nc2ccccc2,Tox21_303202,
NCGC00257062-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,16219-75-3,27756,144213384,Fns,,5-Ethylidene-2-norbornene,CC=C2CC1C=CC2C1,Tox21_303067,
NCGC00257165-01,tox21-luc-biochem-p1,ratio,inconclusive antagonist,inconclusive antagonist,79.64072538,-17.36230507,inconclusive,-1.33333,,92-48-8,7092,144213497,A,A,6-Methyl coumarin,Cc1ccc2OC(=O)C=Cc2c1,Tox21_303180,
NCGC00257184-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,3290-92-4,18689,144213512,Ac,Ac,Trimethylolpropane trimethacrylate,O=C(OCC(COC(=O)C(=C)C)(CC)COC(=O)C(=C)C)C(=C)C,Tox21_303195,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
